team,win_prob,top3_prob,expected_rank
Hanszen,0.295,1.0,2.00075
Will Rice,0.23325,1.0,2.4
Duncan,0.1345,1.0,3.15375
Jones,0.1215,1.0,3.24925
Sid Richardson,0.0765,1.0,3.84775
Brown,0.02375,1.0,5.36525
Wiess,0.04,1.0,6.38175
McMurtry,0.02875,1.0,6.77675
Lovett,0.02575,1.0,7.044
Martel,0.01375,1.0,7.65275
Baker,0.00525,1.0,8.4885
GSA,0.002,1.0,9.6395
