team,win_prob,top3_prob,expected_rank
Hanszen,0.50725,0.75,0.82875
Jones,0.2445,0.75,1.5165
GSA,0.19225,0.75,1.80025
Wiess,0.03625,0.75,3.30275
Will Rice,0.011,0.75,4.13625
Martel,0.008,0.75,4.5765
McMurtry,0.00075,0.75,5.9165
Sid Richardson,0.0,0.75,7.08375
Brown,0.0,0.75,7.29225
Duncan,0.0,0.75,9.06025
Baker,0.0,0.75,9.487
Lovett,0.0,0.75,10.99925
